date;lieux;adresse;cours;theme;debut_am;fin_am;debut_pm;fin_pm;intervenant_name
17/09/2019;CCI Cannes;11 Av Maurice Chevalier, 06150 Cannes;Presentation;;;;13.30;17.00;Anna NICOLINI
18/09/2019;CCI Cannes;11 Av Maurice Chevalier, 06150 Cannes;Atelier projet;;;;13.30;17.00;Anna NICOLINI
19/09/2019;CCI Cannes;11 Av Maurice Chevalier, 06150 Cannes;Decouverte metier ;;9;12.30;13.30;17.00;Anna NICOLINI
20/09/2019;CCI Cannes;11 Av Maurice Chevalier, 06150 Cannes;Workshop;Creativite;0;0;;;Life Bloom Academy
23/09/2019;CCI Cannes;11 Av Maurice Chevalier, 06150 Cannes;Preparation;Enquete Metiers;;;13.30;17.00;Anna NICOLINI
24/09/2019;CCI Cannes;11 Av Maurice Chevalier, 06150 Cannes;Decouverte metier 1;;;;13.30;17.00;Corinne MORI
25/09/2019;CCI Cannes;11 Av Maurice Chevalier, 06150 Cannes;Decouverte metier 2;;;;13.30;17.00;Corinne MORI
26/09/2019;CCI Cannes;11 Av Maurice Chevalier, 06150 Cannes;Feedback;Ancrage des projets;9;12.30;;;Anna NICOLINI
27/09/2019;CCI Cannes;11 Av Maurice Chevalier, 06150 Cannes;Workshop;IKIGAI;0;0;;;Life Bloom Academy
